r/g,b/g,i/g,MSI,ULOR,tech
2.64,0.60,0.07,0.20,0.03,HPS
2.50,0.65,0.07,0.24,0.03,HPS
2.79,0.59,0.16,0.18,0.03,HPS
3.47,0.74,0.25,0.28,0.03,HPS
2.50,0.77,0.11,0.35,0.03,HPS
2.27,0.84,0.50,0.45,0.03,HPS
0.87,0.98,0.22,0.79,0.05,MH4000
0.80,0.54,0.15,0.35,0.1,MV
1.01,0.57,0.36,0.35,0.1,MV
5.43,0.64,0.17,0.23,0.00,LED1500
1.94,0.42,-0.11,0.08,0.00,LED1650
1.64,0.38,-0.08,0.10,0.00,LED1650
3.87,0.47,0.13,0.05,0.00,LED1800
2.65,0.43,-0.10,0.06,0.00,LED1800
2.37,0.44,-0.15,0.08,0.00,LED1800
3.42,0.51,0.03,0.09,0.00,LED1800
1.85,0.56,0.03,0.23,0.00,LED2200
1.90,0.70,0.04,0.35,0.00,LED3000
1.83,0.70,0.01,0.35,0.00,LED3000
1.99,0.75,0.04,0.38,0.00,LED3000
1.86,0.68,-0.04,0.34,0.00,LED3000
1.89,0.69,0.05,0.34,0.00,LED3000
0.81,0.51,-0.11,0.32,0.00,LED3500
1.28,0.72,0.79,0.45,0.00,LED4000
1.08,0.60,-0.08,0.36,0.00,LED4000
1.04,0.77,-0.03,0.53,0.00,LED4000
0.94,0.55,-0.07,0.34,0.00,LED4000
0.82,0.60,-0.12,0.40,0.00,LED4000
1.17,0.89,0.01,0.63,0.00,LED5000
1.25,0.89,0.04,0.63,0.00,LED5000
0.99,0.84,0.02,0.61,0.00,LED5500
1.12,0.94,0.03,0.70,0.00,LED5500
0.60,0.81,-0.09,0.65,0.00,LED5500
3.38,0.83,3.65,0.36,0.30,INC2550
2.79,0.82,2.37,0.38,1.30,INC2550
1.66,0.70,0.04,0.39,2.30,CFL2500
1.10,0.75,-0.02,0.50,3.30,CFL4000
1.04,0.98,0.18,0.76,4.30,CFL6200
